As_of_Year,Respondent_ID,Agency_Code,Respondent_Name_TS,Respondent_City_TS,Respondent_State_TS,Respondent_ZIP_Code,Parent_Name_TS,Parent_City_TS,Parent_State_TS,Parent_ZIP_Code,Assets_000_Panel
2012,62-1859487,7,PEOPLES HOME EQUITY INC,BRENTWOOD,TN,37027,,,,,1065
2012,63-1005978,7,HAMILTON MORTGAGE CORPORATION,BIRMINGHAM,AL,35209,,,,,10000
2012,63-1052225,7,"CIS FINANCIAL SERVICES, INC.",HAMILTON,AL,35570,,,,,14200
2012,63-1254889,7,"CONSUMER FIRST MORTGAGE, INC",NORTHPORT,AL,35473,,,,,10000
2012,6443809990,7,"SUN WEST MORTGAGE COMPANY, INC",CERRITOS,CA,90703,,,,,10000
2012,6451209990,7,SAN DIEGO FUNDING,SAN DIEGO,CA,92106,,,,,10000
2012,65-0447670,7,THE CROSSFIRE FINANCIAL NETWOR,MIAMI,FL,33173,,,,,1712
2012,65-0738229,7,"GEO-CORP, INC.",MONTEREY PARK,CA,91754,,,,,10000
2012,65-0763054,7,AMERICAN BANCSHARES MORTGAGE,MIAMI LAKES,FL,33016,,,,,2200
2012,65-0782023,7,FIRST EQUITY MORTGAGE BANKERS,MIAMI,FL,33156,,,,,10000
2012,65-1318080,7,OLD POINT MORTGAGE LLC,HAMPTON,VA,23663,,,,,10000
2012,66-0188856,7,AE MORTGAGE,SAN JUAN,PR,00936-8602,AEELA MORTGAGE,SAN JUAN,PR,00936-4508,1000000
2012,66-0190521,7,COOPERATIVA DE A/C ARECIBO,ARECIBO,PR,00613,,,,,10000
2012,66-0202393,7,COOPA/C ASOC DE MAESTROS DE PR,SAN JUAN,PR,00919-2770,,,,,83800
2012,66-0206444,7,COOPERATIVA DE AHORRO Y CREDIT,LARES,PR,00669,,,,,119815
2012,66-0213182,7,COOPERATIVA DE A/C AIBONITENA,AIBONITO,PR,00705,,,,,62637
2012,66-0214491,7,COOPERATIVA DE AHORRO Y CREDIT,ISABELA,PR,00662,,,,,10000
2012,66-0214784,7,COOPERATIVA DE A\C VEGA ALTA,VEGA ALTA,PR,00692,,,,,262934
2012,66-0215720,7,COOPERATIVA DE A/C CARIBE COOP,GUAYANILLA,PR,00656-0547,,,,,100068
2012,66-0217489,7,COOPERATIVA A/C AGUADILLA,AGUADILLA,PR,00605,,,,,10000
2012,66-0217490,7,COOPERATIVA DE AHORRO Y CREDIT,AGUADA,PR,00602-0543,,,,,10000
2012,66-0219584,7,COOPERATIVA A/C CAMUY,CAMUY,PR,00627,,,,,10000
2012,66-0220392,7,BOX 5,ADJUNTAS,PR,00601,,,,,10000
2012,66-0222560,7,COOPERATIVA A/C AGUSTIN BURGOS,VILLALBA,PR,00766,,,,,42226
2012,66-0224450,7,COOP A/C SAN RAFAEL,QUEBRADILLAS,PR,00678,,,,,137000
2012,66-0224510,7,COOP A/C PADRE MAC DONALD,PONCE,PR,00732-7022,,,,,49286
2012,66-0227873,7,COOP ZENO GANDIA,ARECIBO,PR,00613-1865,,,,,222466
2012,66-0228482,7,COOPERATIVA DE AHORRO Y CREDIT,RINCON,PR,00677,,,,,10000
2012,66-0228613,7,COOPERATIVA DE A/C DEL VALENCI,JUNCOS,PR,00777-1510,,,,,10000
2012,66-0231533,7,COOPERATIVA DE AHORRO Y CREDIT,AIBONITO,PR,00705,COOPERATIVA DE AHORRO Y CREDIT,AIBONITO,PR,00705,95017
2012,66-0236963,7,QUEBRADACOOP,CAMUY,PR,00627,,,,,10000
2012,66-0237982,7,COOPERATIVA DE A\C HATILLO,HATILLO,PR,00659,,,,,97971
2012,66-0254756,7,COOPERATIVA DE A/C CAGUAS,CAGUAS,PR,00726-1252,,,,,67650
2012,66-0258299,7,COOPERATIVA DE A/C SANTA ISABE,SANTA ISABEL,PR,00757,,,,,10000
2012,66-0262500,7,COOPERATIVA DE A/C AGUAS BUENA,AGUAS BUENAS,PR,00703-0005,,,,,10000
2012,66-0266327,7,COOPERATIVA DE AHORRO Y CREDIT,ANASCO,PR,00610,,,,,10000
2012,66-0266868,7,COOPERATIVA DE AHORRO Y CREDIT,COAMO,PR,00769,,,,,45026402
2012,66-0267388,7,COOPERATIVA DE A/C JESUS OBRER,CAGUAS,PR,00725,,,,,10000
2012,66-0269897,7,COOPERATIVA LA SAGRADA FAMILIA,COROZAL,PR,00783-0102,,,,,40000
2012,66-0270259,7,COOPERATIVE DE AHORRO Y CREDIT,CABO ROJO,PR,00623,,,,,10000
2012,66-0271958,7,COOPERATIVA A/C MAUNABO,MAUNABO,PR,00707,,,,,10000
2012,66-0287790,7,COOPERATIVA A/C ORIENTAL,HUMACAO,PR,00791,,,,,155431
2012,66-0313273,7,COOPERATIVA DE AHORRO Y CREDIT,LAS PIEDRAS,PR,00771,,,,,10000
2012,66-0324225,7,COOPERATIVA A/C DE MAYAGUEZ,MAYAGUEZ,PR,00681-0416,,,,,49000
2012,66-0329330,7,COOPERATIVA DE A\C MOROVIS,MOROVIS,PR,00687,,,,,80807158
2012,66-0344924,7,COOPERATIVA A\C HERMANO UNIDOS,SAN JUAN,PR,00917,,,,,52826
2012,66-0347008,7,BIOPHARMA COOP,CAROLINA,PR,00985,BIOPHARMA COOP,CAROLINA,PR,00985,10000
2012,66-0349904,7,AAA CONCORDIA MORTGAGE CORP,SAN JUAN,PR,00926-9714,,,,,10000
2012,66-0356747,7,RF MORTGAGE & INVESTMENT CORP.,SAN JUAN,PR,00936-1309,RF MORTGAGE & INVESTMENT CORP.,SAN JUAN,PR,00936-1309,10000
2012,66-0371086,7,GERENCOOP,SAN JUAN,PR,00907-3918,,,,,70473
2012,66-0427030,7,"EMI EQUITY MORTGAGE, INC.",SAN JUAN,PR,00909,"EMI EQUITY MORTGAGE, INC.",SAN JUAN,PR,00909,10000
2012,66-0476427,7,FIRST SECURITY MORTGAGE,SAN JUAN,PR,00910-2793,,,,,10000
2012,66-0559119,7,THE MORTGAGE HOUSE CO.,SAN JUAN,PR,00924,,,,,10000
2012,66-0563608,7,"METRO ISLAND MORTGAGE, INC.",RIO PIEDRAS,PR,00927,,,,,10000
2012,66-0623839,7,JR MORTGAGE HOME,PONCE,PR,00716,,,,,1395899
2012,66-0651814,7,EXPRESS SOLUTION MORTGAGE BANK,CABO ROJO,PR,00623,,,,,15000
2012,66-0654837,7,TOP MORTGAGE BANKERS,SAN JUAN,PR,00607,,,,,100000
2012,66-0655492,7,HISPANIA MORTGAGE,CAGUAS,PR,00725,,,,,947
2012,66-0665923,7,ADVANCE MORTGAGE BANKERS INC,BAYAMON,PR,00961,,,,,15555
2012,66-0669989,7,HOME MORTGAGE BANKERS,CAROLINA,PR,00983,HOME MORTGAGE BANKERS,CAROLINA,PR,00983,10000
2012,66-0674421,7,MULTIPLES MORTGAGE CORP.,SAN JUAN,PR,00936-6201,,,,,10000
2012,66-0677190,7,LATIN AMERICAN FINANCIAL,SAN JUAN,PR,00921,,,,,10000
2012,66-0690568,7,ACTUAL MORTGAGE BANKERS,BAYAMON,PR,00960,,,,,10000
2012,66-0696278,7,HR MORTGAGE CORP,CAGUAS,PR,00725,,,,,10000
2012,66-0699600,7,THE LENDING CENTER,SAN JUAN,PR,00919-5056,THE LENDING CENTER,SAN JUAN,PR,00918-0000,525
2012,66-0705554,7,"SENIOR MORTGAGE BANKERS, INC.",SAN JUAN,PR,00907,,,,,0
2012,66-0736233,7,TRUST MORTGAGE CORP.,SAN JUAN,PR,00920,,,,,279615
2012,66-0737374,7,VIG MORTGAGE CORPORATION,SAN JUAN,PR,00907,VIG MORTGAGE CORPORATION,SAN JUAN,PR,00907,789772
2012,68-0151632,7,LAND/HOME FINANCIAL SERVICES,CONCORD,CA,94520,,,,,10000
